,Feature,Proportion
0,Phys_hab__Estuarine_Intertidal_Rocky_Reef,0.0
1,Phys_hab__Estuarine_Intertidal_Soft_Sediment,0.0
2,Phys_hab__Estuarine_Shallow_Mud,0.0
3,Phys_hab__Estuarine_Shallow_Rocky_Reef,0.0
4,Phys_hab__Estuarine_Shallow_Sand,0.0
5,Phys_hab__High_Current_Deep_Gravel,0.0
6,Phys_hab__High_Current_Deep_Mud,0.0
7,Phys_hab__High_Current_Deep_Rocky_Reef,0.0
8,Phys_hab__High_Current_Deep_Sand,0.0
9,Phys_hab__High_Current_Intertidal_Rocky_Reef,0.0
10,Phys_hab__High_Current_Intertidal_Soft_Sediment,0.0
11,Phys_hab__High_Current_Shallow_Gravel,0.0
12,Phys_hab__High_Current_Shallow_Mud,0.0
13,Phys_hab__High_Current_Shallow_Rocky_Reef,0.0
14,Phys_hab__High_Current_Shallow_Sand,0.0
15,Phys_hab__Moderate_Deep_Gravel,0.0
16,Phys_hab__Moderate_Deep_Mud,0.0
17,Phys_hab__Moderate_Deep_Rocky_Reef,0.0
18,Phys_hab__Moderate_Deep_Sand,0.0
19,Phys_hab__Moderate_Intertidal_Rocky_Reef,0.0
20,Phys_hab__Moderate_Mid_slope_Mud,0.0
21,Phys_hab__Moderate_Shallow_Gravel,0.0
22,Phys_hab__Moderate_Shallow_Mud,0.0
23,Phys_hab__Moderate_Shallow_Rocky_Reef,0.0
24,Phys_hab__Moderate_Shallow_Sand,0.0
25,Phys_hab__Moderate_Upper_Slope_Mud,0.0
26,Phys_hab__Moderate_Upper_Slope_Sand,0.0
27,Phys_hab__Sheltered_Deep_Gravel,0.0
28,Phys_hab__Sheltered_Deep_Mud,0.0
29,Phys_hab__Sheltered_Deep_Rocky_Reef,0.0
30,Phys_hab__Sheltered_Deep_Sand,0.0
31,Phys_hab__Sheltered_Intertidal_Rocky_Reef,0.0
32,Phys_hab__Sheltered_Intertidal_Soft_Sediment,0.0
33,Phys_hab__Sheltered_Shallow_Gravel,0.0
34,Phys_hab__Sheltered_Shallow_Mud,0.0
35,Phys_hab__Sheltered_Shallow_Rocky_Reef,0.0
36,Phys_hab__Sheltered_Shallow_Sand,0.0
37,Phys_hab__Very_Sheltered_Deep_Gravel,0.0
38,Phys_hab__Very_Sheltered_Deep_Mud,8.80395836887903
39,Phys_hab__Very_Sheltered_Deep_Rocky_Reef,0.819672131147541
40,Phys_hab__Very_Sheltered_Deep_Sand,0.0
41,Phys_hab__Very_Sheltered_Intertidal_Rocky_Reef,0.2564102564102564
42,Phys_hab__Very_Sheltered_Intertidal_Soft_Sediment,0.0
43,Phys_hab__Very_Sheltered_Shallow_Gravel,0.0
44,Phys_hab__Very_Sheltered_Shallow_Mud,2.491823703472979
45,Phys_hab__Very_Sheltered_Shallow_Rocky_Reef,3.462117410938284
46,Phys_hab__Very_Sheltered_Shallow_Sand,0.0
